                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5249,                 1.4062,                 1.7756,                0.79531,                0.77348,                0.84715,                0.49372,                 1.4431,                 1.0683,                 1.7898,             0.00078766,             0.00078766,             0.00078766
                     71,                 1.5086,                 1.4327,                 1.7748,                0.78035,                0.77179,                 0.8498,                0.48844,                 1.4423,                 1.1076,                 1.7666,             0.00077823,             0.00077823,             0.00077823
                     72,                 1.5276,                 1.4483,                 1.7878,                0.83751,                0.75438,                0.86092,                0.49181,                 1.4654,                 1.0989,                 1.8037,              0.0007688,              0.0007688,              0.0007688
                     73,                 1.5114,                 1.4045,                  1.784,                0.79417,                0.78908,                0.86015,                0.49137,                 1.4553,                 1.0568,                 1.7942,             0.00075937,             0.00075937,             0.00075937
                     74,                 1.4988,                 1.3747,                 1.7711,                0.82806,                0.76604,                 0.8742,                0.51034,                 1.4301,                 1.0115,                  1.764,             0.00074994,             0.00074994,             0.00074994
                     75,                 1.5175,                 1.3916,                 1.7784,                0.81131,                0.79083,                0.86369,                0.49459,                 1.4391,                 1.0708,                 1.7854,             0.00074051,             0.00074051,             0.00074051
                     76,                 1.5125,                 1.3918,                  1.766,                0.81344,                0.77736,                0.85406,                0.49496,                 1.4529,                 1.0469,                 1.7791,             0.00073108,             0.00073108,             0.00073108
                     77,                 1.4908,                 1.3841,                 1.7576,                0.78139,                0.80754,                0.84736,                0.48589,                 1.4493,                 1.0411,                 1.7661,             0.00072164,             0.00072164,             0.00072164
                     78,                 1.5026,                 1.3637,                 1.7517,                0.79889,                0.77038,                 0.8545,                0.48203,                 1.4813,                   1.04,                 1.8276,             0.00071221,             0.00071221,             0.00071221
                     79,                 1.5134,                 1.3624,                 1.7658,                0.77918,                0.81093,                0.85376,                0.49506,                  1.433,                 1.0233,                 1.7622,             0.00070278,             0.00070278,             0.00070278
                     80,                 1.4962,                 1.3712,                 1.7476,                0.81029,                0.78861,                0.86797,                0.49616,                 1.4505,                 1.0306,                 1.7707,             0.00069335,             0.00069335,             0.00069335
                     81,                 1.4791,                 1.3308,                 1.7448,                0.81249,                0.79793,                0.86757,                0.50872,                 1.4072,                 1.0341,                 1.7358,             0.00068392,             0.00068392,             0.00068392
                     82,                 1.4991,                 1.3303,                 1.7543,                0.83074,                0.81819,                0.88662,                0.52324,                 1.3986,                0.97619,                 1.7414,             0.00067449,             0.00067449,             0.00067449
                     83,                 1.4796,                 1.3569,                 1.7456,                0.83576,                0.81991,                 0.8901,                0.53135,                 1.4087,                0.96994,                 1.7388,             0.00066506,             0.00066506,             0.00066506
                     84,                 1.4882,                 1.3275,                 1.7494,                0.80604,                0.81735,                  0.887,                0.53494,                 1.3497,                0.98001,                 1.6868,             0.00065563,             0.00065563,             0.00065563
                     85,                 1.4785,                  1.348,                 1.7469,                0.82291,                0.79942,                0.88181,                0.52635,                 1.4037,                0.99836,                 1.7295,             0.00064619,             0.00064619,             0.00064619
                     86,                 1.4633,                 1.3212,                 1.7241,                 0.8421,                0.77804,                 0.8754,                0.50052,                 1.4697,                 1.0056,                 1.7785,             0.00063676,             0.00063676,             0.00063676
                     87,                 1.4707,                 1.3212,                   1.73,                 0.8172,                0.79083,                0.87723,                0.51718,                    1.4,                0.99787,                 1.7324,             0.00062733,             0.00062733,             0.00062733
                     88,                  1.484,                 1.3141,                 1.7355,                0.81769,                 0.8025,                0.87297,                 0.5192,                  1.383,                0.99029,                 1.7096,              0.0006179,              0.0006179,              0.0006179
                     89,                 1.4574,                 1.2939,                 1.7154,                0.84033,                0.81372,                0.89181,                 0.5318,                  1.369,                0.95799,                 1.7094,             0.00060847,             0.00060847,             0.00060847
                     90,                 1.4575,                  1.302,                 1.7216,                0.84482,                0.83614,                0.90641,                0.55324,                 1.3428,                0.93331,                 1.6736,             0.00059904,             0.00059904,             0.00059904
                     91,                 1.4501,                 1.2865,                 1.7177,                0.81372,                0.84445,                0.89829,                 0.5434,                 1.3531,                0.94129,                 1.6855,             0.00058961,             0.00058961,             0.00058961
                     92,                 1.4652,                 1.2696,                 1.7322,                0.82089,                 0.8512,                 0.9117,                0.55145,                 1.3607,                 0.9179,                 1.6948,             0.00058017,             0.00058017,             0.00058017
                     93,                 1.4371,                 1.2476,                 1.7069,                 0.8475,                0.81141,                0.89609,                0.54687,                 1.3367,                0.92123,                 1.6942,             0.00057074,             0.00057074,             0.00057074
                     94,                 1.4374,                 1.2533,                 1.7125,                0.82456,                 0.8277,                0.90189,                0.55284,                 1.3519,                0.92099,                 1.6635,             0.00056131,             0.00056131,             0.00056131
                     95,                 1.4268,                 1.2529,                 1.6895,                0.83729,                0.82973,                0.90089,                0.54973,                 1.3454,                0.91535,                 1.6754,             0.00055188,             0.00055188,             0.00055188
                     96,                 1.4266,                 1.2485,                    1.7,                0.84501,                0.83936,                0.90523,                0.55786,                 1.3327,                0.90054,                 1.6786,             0.00054245,             0.00054245,             0.00054245
                     97,                 1.4352,                  1.246,                 1.6974,                0.84241,                 0.8424,                0.90747,                 0.5538,                   1.34,                0.89606,                   1.68,             0.00053302,             0.00053302,             0.00053302
                     98,                 1.4314,                 1.2454,                 1.6774,                0.84002,                0.84773,                0.90583,                0.55339,                  1.338,                0.89611,                 1.6654,             0.00052359,             0.00052359,             0.00052359
                     99,                 1.4101,                 1.2144,                 1.6739,                0.83481,                0.85236,                0.91191,                0.56988,                  1.323,                0.87188,                 1.6486,             0.00051415,             0.00051415,             0.00051415
                    100,                 1.4149,                 1.2394,                  1.681,                0.84907,                0.86138,                0.91474,                0.55895,                 1.3304,                0.87627,                 1.6576,             0.00050472,             0.00050472,             0.00050472
                    101,                 1.4157,                 1.2472,                 1.6827,                0.84871,                0.84976,                 0.9124,                0.55124,                 1.3519,                0.90644,                 1.6635,             0.00049529,             0.00049529,             0.00049529
                    102,                 1.4204,                 1.2287,                 1.6829,                0.83688,                0.84517,                0.89851,                0.53337,                 1.3635,                0.93093,                 1.6726,             0.00048586,             0.00048586,             0.00048586
                    103,                 1.3982,                 1.2145,                 1.6756,                0.83283,                0.86389,                  0.908,                0.55693,                 1.3282,                0.88334,                 1.6699,             0.00047643,             0.00047643,             0.00047643
                    104,                 1.4096,                 1.1966,                 1.6824,                0.86339,                0.85538,                0.92256,                0.57367,                 1.2916,                0.87513,                 1.6309,               0.000467,               0.000467,               0.000467
                    105,                 1.4087,                 1.2327,                 1.6902,                0.85993,                0.83882,                0.91577,                0.56474,                 1.3192,                0.86803,                  1.657,             0.00045757,             0.00045757,             0.00045757
                    106,                 1.4091,                 1.2122,                 1.6866,                0.87266,                0.84614,                0.92602,                0.57869,                 1.2863,                0.84734,                 1.6287,             0.00044813,             0.00044813,             0.00044813
                    107,                 1.3888,                 1.1788,                 1.6633,                0.85768,                0.85691,                0.91525,                 0.5729,                 1.3094,                0.86782,                 1.6433,              0.0004387,              0.0004387,              0.0004387
                    108,                  1.392,                 1.2004,                 1.6647,                  0.843,                0.85132,                0.91354,                 0.5669,                 1.3052,                0.86686,                 1.6411,             0.00042927,             0.00042927,             0.00042927
                    109,                 1.3778,                 1.1784,                 1.6511,                0.86074,                0.86562,                 0.9262,                0.58129,                 1.2976,                0.83513,                 1.6152,             0.00041984,             0.00041984,             0.00041984
                    110,                 1.3816,                 1.1948,                 1.6583,                0.85508,                0.85727,                0.92456,                 0.5874,                 1.2819,                0.83137,                 1.6096,             0.00041041,             0.00041041,             0.00041041
                    111,                 1.3904,                 1.1789,                 1.6577,                0.85511,                0.83513,                0.91978,                0.57858,                 1.2865,                0.84624,                 1.6206,             0.00040098,             0.00040098,             0.00040098
                    112,                 1.3771,                 1.1669,                 1.6482,                0.86709,                0.86216,                 0.9308,                0.58491,                 1.2605,                0.83464,                 1.6072,             0.00039155,             0.00039155,             0.00039155
                    113,                 1.3783,                 1.1462,                 1.6345,                0.87567,                0.85768,                0.93313,                   0.59,                 1.2638,                 0.8173,                 1.5986,             0.00038211,             0.00038211,             0.00038211
                    114,                 1.3899,                 1.1817,                 1.6594,                 0.8623,                0.86132,                0.92423,                0.58322,                 1.2734,                0.82673,                 1.6083,             0.00037268,             0.00037268,             0.00037268
                    115,                 1.3701,                 1.1696,                 1.6513,                0.86666,                0.86423,                 0.9328,                0.59986,                 1.2582,                0.79941,                  1.594,             0.00036325,             0.00036325,             0.00036325
                    116,                 1.3756,                 1.1753,                 1.6572,                0.83358,                0.86328,                0.92398,                0.58085,                 1.2572,                  0.848,                 1.5946,             0.00035382,             0.00035382,             0.00035382
                    117,                 1.3532,                 1.1432,                 1.6281,                0.87589,                0.87218,                0.93557,                0.59886,                 1.2653,                0.78952,                  1.593,             0.00034439,             0.00034439,             0.00034439
                    118,                 1.3495,                 1.1369,                 1.6255,                0.86075,                0.86125,                0.93093,                0.59973,                 1.2498,                0.79746,                  1.581,             0.00033496,             0.00033496,             0.00033496
                    119,                 1.3405,                 1.1105,                 1.6203,                0.87224,                0.86783,                0.93507,                0.58657,                 1.2675,                0.80142,                 1.6017,             0.00032553,             0.00032553,             0.00032553
                    120,                 1.3307,                 1.1187,                 1.6146,                0.87038,                0.86761,                0.93594,                0.60053,                 1.2536,                0.78536,                 1.5886,             0.00031609,             0.00031609,             0.00031609
                    121,                  1.364,                 1.1332,                 1.6281,                0.88466,                0.86415,                 0.9362,                0.60115,                 1.2454,                 0.7907,                 1.5844,             0.00030666,             0.00030666,             0.00030666
                    122,                 1.3463,                 1.1198,                 1.6358,                0.86517,                0.86069,                 0.9323,                0.59942,                  1.245,                0.79707,                  1.597,             0.00029723,             0.00029723,             0.00029723
                    123,                 1.3591,                 1.1204,                  1.633,                0.85573,                0.88613,                 0.9366,                0.60501,                 1.2242,                0.78291,                 1.5697,              0.0002878,              0.0002878,              0.0002878
                    124,                  1.349,                 1.1161,                 1.6303,                0.89019,                0.86669,                0.93757,                0.60745,                 1.2309,                0.78234,                 1.5734,             0.00027837,             0.00027837,             0.00027837
                    125,                 1.3571,                 1.1221,                 1.6335,                0.86071,                0.88508,                0.93222,                0.60427,                 1.2221,                0.80308,                 1.5608,             0.00026894,             0.00026894,             0.00026894
                    126,                 1.3416,                 1.1073,                 1.6291,                0.84969,                0.88258,                0.93456,                0.61226,                  1.231,                0.78371,                 1.5572,             0.00025951,             0.00025951,             0.00025951
                    127,                 1.3433,                 1.0968,                 1.6215,                 0.8647,                0.87556,                0.93278,                0.60228,                 1.2412,                0.78498,                 1.5763,             0.00025007,             0.00025007,             0.00025007
                    128,                 1.3463,                 1.0987,                 1.6208,                 0.8775,                0.86842,                0.93768,                 0.6077,                 1.2281,                0.77838,                 1.5646,             0.00024064,             0.00024064,             0.00024064
                    129,                 1.3318,                 1.1021,                 1.6049,                0.86463,                0.87208,                0.93654,                0.61032,                 1.2076,                0.78056,                 1.5447,             0.00023121,             0.00023121,             0.00023121
                    130,                  1.322,                 1.0986,                 1.6052,                0.87635,                0.86508,                0.93911,                0.61087,                 1.2168,                0.77268,                 1.5575,             0.00022178,             0.00022178,             0.00022178
                    131,                  1.334,                 1.0963,                 1.6201,                0.87217,                0.87604,                0.94049,                 0.6082,                 1.2114,                0.76901,                 1.5457,             0.00021235,             0.00021235,             0.00021235
                    132,                  1.315,                 1.0866,                 1.6013,                0.89222,                0.85374,                0.93818,                0.61042,                 1.2113,                0.76454,                 1.5458,             0.00020292,             0.00020292,             0.00020292
                    133,                 1.3235,                 1.0926,                 1.6139,                0.90235,                0.84338,                0.93829,                0.61819,                   1.19,                0.76247,                  1.532,             0.00019349,             0.00019349,             0.00019349
                    134,                 1.3058,                 1.0718,                 1.6046,                0.88753,                0.87156,                0.93951,                0.61868,                 1.2059,                0.75614,                 1.5422,             0.00018406,             0.00018406,             0.00018406
                    135,                 1.3293,                 1.0733,                 1.5984,                0.88248,                0.87434,                0.94121,                0.62038,                 1.1979,                0.76413,                 1.5325,             0.00017462,             0.00017462,             0.00017462
                    136,                 1.3177,                 1.0782,                  1.601,                0.89335,                0.87166,                0.94568,                 0.6258,                 1.1823,                0.73523,                 1.5235,             0.00016519,             0.00016519,             0.00016519
                    137,                 1.2927,                 1.0583,                 1.5838,                0.88473,                0.88737,                0.94486,                0.62438,                 1.1835,                0.74343,                  1.528,             0.00015576,             0.00015576,             0.00015576
                    138,                 1.2977,                 1.0717,                 1.5785,                0.87356,                0.88604,                0.94283,                0.62184,                 1.1944,                0.73968,                 1.5311,             0.00014633,             0.00014633,             0.00014633
                    139,                 1.3028,                 1.0681,                 1.6031,                0.86307,                0.89003,                0.94848,                0.62632,                 1.1938,                0.74202,                 1.5236,              0.0001369,              0.0001369,              0.0001369
                    140,                 1.2995,                 1.0561,                  1.582,                0.88507,                0.87399,                0.94521,                0.63008,                  1.177,                0.74309,                 1.5139,             0.00012747,             0.00012747,             0.00012747
                    141,                 1.2892,                0.92354,                 1.5832,                0.87028,                0.89228,                0.93894,                0.61602,                 1.2096,                0.74186,                 1.5434,             0.00011804,             0.00011804,             0.00011804
                    142,                 1.2605,                0.86556,                 1.5712,                0.90299,                0.87554,                0.94235,                0.62273,                 1.1878,                0.73904,                 1.5256,              0.0001086,              0.0001086,              0.0001086
                    143,                 1.2202,                0.83858,                 1.5381,                 0.9091,                0.87971,                 0.9505,                 0.6285,                 1.1852,                0.72405,                   1.52,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    144,                 1.2392,                0.83181,                 1.5654,                0.91494,                0.87092,                0.95049,                0.63908,                 1.1654,                0.71711,                  1.505,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    145,                 1.2188,                0.84307,                 1.5388,                0.90012,                0.88663,                0.94938,                0.63197,                 1.1663,                0.72277,                 1.5068,              8.031e-05,              8.031e-05,              8.031e-05
                    146,                 1.2159,                0.81853,                 1.5443,                0.89716,                0.88912,                0.95178,                0.64228,                 1.1485,                0.71297,                 1.4951,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    147,                 1.2184,                0.83678,                 1.5379,                0.90155,                0.89102,                0.95169,                0.63711,                 1.1556,                0.71098,                 1.4958,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    148,                 1.2122,                0.82639,                 1.5348,                0.90922,                0.88317,                0.95297,                0.64383,                 1.1449,                0.70551,                 1.4921,             5.2016e-05,             5.2016e-05,             5.2016e-05
